UPS
Series	UPS
ID	Firmware File	Latest 
Firmware
Version
Release
Notes	Firmware
Update with
Output On
Available	Crypto-
graphycally
Signed	USB
Support
CSH	5008	CSH5008UPS_02-7.enc	UPS 02.7	Yes	No	Yes
SCL	1029	SCL1029UPS_15-6.enc	UPS 15.6	Yes	Yes	Yes
SCL	1030	SCL1030UPS_15-6.enc	UPS 15.6	No	Yes	Yes
SCL	1036	SCL1036UPS_15-6.enc	UPS 15.6	Yes	Yes	Yes
SCL	1037	SCL1037UPS_15-6.enc	UPS 15.6	No	Yes	Yes
SCL	1048	SCL1048UPS_16-6.enc	UPS 16.6	Yes	Yes	Yes
SCL	1049	SCL1049UPS_16-6.enc	UPS 16.6	No	Yes	Yes
SCL	1051	SCL1051UPS_16-6.enc	UPS 16.6	No	Yes	Yes
SCL	1052	SCL1052UPS_16-6.enc	UPS 16.6	Yes	Yes	Yes
SMC	1000	SMC1000UPS_10-0.enc	UPS 10.0	No	No	Yes
SMC	1005	SMC1005UPS_15-1.enc	UPS 15.1	No	No	Yes
SMC	1007	SMC1007UPS_15-0.enc	UPS 15.0	No	No	Yes
SMC	1018	SMC1018UPS_18-2.enc	UPS 18.2	Yes	Yes	Yes
SMC	1028	SMC1028UPS_18-2.enc	UPS 18.2	Yes	Yes	Yes
SMC	1061	SMC1061UPS_02-0.enc	UPS 02.0	Yes	Yes	Yes
SMT	1015	SMT1015UPS_18-0.enc	UPS 18.0	Yes	Yes	Yes
SMT	1027	SMT1027UPS_18-0.enc	UPS 18.0	Yes	Yes	Yes
SMT	1031	SMT1031UPS_15-6.enc	UPS 15.6	Yes	Yes	Yes
SMT	1039	SMT1039UPS_15-5.enc	UPS 15.5	No	Yes	Yes
SMT	1040	SMT1040UPS_15-0.enc	UPS 15.0	No	No	Yes
SMT	1041	SMT1041UPS_15-0.enc	UPS 15.0	No	No	Yes
SMT	1050	SMT1050UPS_16-6.enc	UPS 16.6	Yes	Yes	Yes
SMT	1059	SMT1059UPS_16-5.enc	UPS 16.5	Yes	Yes	Yes
SMT	1060	SMT1060UPS_02-0.enc	UPS 02.0	Yes	Yes	Yes
SMT	17	SMT17UPS_07-1.enc	UPS 07.1	No	No	Yes
SMT	18	SMT18UPS_15-1.enc	UPS 15.1	No	No	Yes
SMT	20	SMT20UPS_15-0.enc	UPS 15.0	No	No	No
SMTL	1026	SMTL1026UPS_15-5.enc	UPS 15.5	Yes	Yes	Yes
SMTL	1047	SMTL1047UPS_16-5.enc	UPS 16.5	Yes	Yes	Yes
SMTL	1064	SMTL1064UPS_01-8.enc	UPS 01.8	Yes	Yes	Yes
SMX	1003	SMX1003UPS_15-0.enc	UPS 15.0	No	No	No
SMX	1031	SMX1031UPS_15-6.enc	UPS 15.6	No	Yes	Yes
SMX	1050	SMX1050UPS_16-6.enc	UPS 16.6	No	Yes	Yes
SMX	20	SMX20UPS_15-0.enc	UPS 15.0	No	No	No
SMX	23	SMX23UPS_15-0.enc	UPS 15.0	No	No	No
SRT	1001*	SRT1001UPS_02-9.enc	UPS 02.9	No	No	Yes
SRT	1002	SRT1002UPS_15-1.enc	UPS 15.1	No	No	Yes
SRT	1010	SRT1010UPS_15-5.enc	UPS 15.5	No	Yes	Yes
SRT	1013	SRT1013UPS_15-1.enc	UPS 15.1	No	No	No
SRT	1014	SRT1014UPS_15-1.enc	UPS 15.1	No	No	No
SRT	1019	SRT1019UPS_15-5.enc	UPS 15.5	No	Yes	Yes
SRT	1020	SRT1020UPS_15-8.enc	UPS 15.8	No	Yes	Yes
SRT	1021	SRT1021UPS_15-6.enc	UPS 15.6	No	Yes	Yes
SRT	1024	SRT1024UPS_15-6.enc	UPS 15.6	No	Yes	Yes
SRT	1025	SRT1025UPS_15-5.enc	UPS 15.5	No	Yes	Yes
SRTL	1024	SRTL1024UPS_15-6.enc	UPS 15.6	No	Yes	Yes
SRTL	1034	SRTL1034UPS_10-1.enc	UPS 10.1	Yes	Yes	Yes
SRTL	1035	SRTL1035UPS_10-1.enc	UPS 10.1	Yes	Yes	Yes
SRTL	1062	SRTL1062UPS_10-1.enc	UPS 10.1	Yes	Yes	Yes
SRTL	1063	SRTL1063UPS_10-1.enc	UPS 10.1	Yes	Yes	Yes
XP	1016	XP1016UPS_15-1.enc	UPS 15.1	No	No	Yes
XU	1017	XU1017UPS_15-7.enc	UPS 15.7	No	Yes	N/A
XU	1025	XU1025UPS_15-5.enc	UPS 15.5	No	Yes	Yes
XU	1033	XU1033UPS_15-7.enc	UPS 15.7	No	Yes	N/A
